Code,Name,Brand,Description,Barcode,Supplier,Price Ex,Price In,Value,Stock
BR-MATT-0013,HARMONY MATTRESSS 105 X 195 CM,Sleep Comfort,MATTRESS HARMONY 105 X 195 CM,,Sleep Comfort s.a.l,"3,191.49 ","3,750.00 ",745.50 ,1
BR-MIRR-GRAN-0001,MIRROR GRANADA,Sleep Comfort,MIRROR GRANADA COLOR GRANADA,,Sleep Comfort s.a.l,"1,595.74 ","1,875.00 ",252.15 ,12
BR-MIRR-NORA-0001,MIRROR NORA,Sleep Comfort,MIRROR NORA COLOR WALNUT,,Sleep Comfort s.a.l,"1,595.74 ","1,875.00 ",288.00 ,2
BR-MIRR-QUAD-0001,MIRROR QUADRILLE,Sleep Comfort,MIRROR QUADRILLE COLOR QUADRILLE,,Sleep Comfort s.a.l,"1,595.74 ","1,875.00 ",217.56 ,7
BR-MIRR-QUAD-0002,MIRROR QUADRILLE COL. ZEN,Sleep Comfort,MIRROR QUADRILLE COL. ZEN,,Sleep Comfort s.a.l,"1,595.74 ","1,875.00 ",217.56 ,3
BR-MIRR-SIRN-0001,MIRROR SIRENE WZEN,Sleep Comfort,MIRROR SIRENE COLOR W.N.C,,Sleep Comfort s.a.l,"1,595.74 ","1,875.00 ",240.76 ,5
BR-MIRR-TALA-0001,MIRROR TALAMO,Sleep Comfort,MIRROR TALAMO COLOR TALAMO,,Sleep Comfort s.a.l,"1,595.74 ","1,875.00 ",107.06 ,2
BR-MIRR-TEXAS-0001,MIRROR TEXAS,Sleep Comfort,MIRROS TEXAS,,Sleep Comfort s.a.l,"1,595.74 ","1,875.00 ",184.50 ,1
BR-MIRR-TWIN-0001,MIRROR TWIN,Sleep Comfort,MIRROR TWIN,,Sleep Comfort s.a.l,"1,595.74 ","1,875.00 ",257.50 ,1
BR-MIRR-ZEN-0001,MIRROR ZEN,Sleep Comfort,MIRROR ZEN COLOR ZEN,,Sleep Comfort s.a.l,"1,595.74 ","1,875.00 ",195.99 ,9
BR-NIGHT-DEGN-0001,NIGHT STAND DESIGN,Sleep Comfort,NIGHT STAND DESIGN COL. DESIGN,,Sleep Comfort s.a.l,"1,361.70 ","1,600.00 ",166.73 ,1
BR-NIGHT-GRAN-0001,NIGHT STAND GRANADA,Sleep Comfort,NIGHT STAND GRANADA COLOR GRANADA,,Sleep Comfort s.a.l,"2,872.34 ","3,375.00 ",560.00 ,14
BR-NIGHT-QUAD-0001,NIGHT STAND QUADRILLE,Sleep Comfort,NIGHT STAND QUADRILLE COL. QUADRILLE,,Sleep Comfort s.a.l,"2,127.66 ","2,500.00 ",368.88 ,16
BR-NIGHT-QUAD-0002,NIGHTSTAND QUADRILLE COL. ZEN,Sleep Comfort,NIGHTSTAND QUADRILLE COL. ZEN,,Sleep Comfort s.a.l,"2,127.66 ","2,500.00 ",403.38 ,2
BR-NIGHT-TEAK-0001,NIGHTSTAND TEAK,Sleep Comfort,NIGHTSTAND TEAK COLOR WALNUT,,Sleep Comfort s.a.l,"1,276.60 ","1,500.00 ",730.00 ,1
BR-NIGHT-TEXAS-0001,NIGHTSTAND TEXAS,Sleep Comfort,NIGHTSTAND TEXAS,,Sleep Comfort s.a.l,"3,510.64 ","4,125.00 ",506.63 ,2
BR-NIGHT-TWIN-0001,NIGHTSTAND TWIN,Sleep Comfort,NIGHTSTAND TWIN,,Sleep Comfort s.a.l,"3,723.40 ","4,375.00 ",772.00 ,2
BR-NIGHT-ZEN-0001,NIGHT STAND ZEN,Sleep Comfort,NIGHT STAND ZEN COL. ZEN,,Sleep Comfort s.a.l,"2,127.66 ","2,500.00 ",369.10 ,3
BR-OLYM-0006,OLYMPUS COUCH,Sleep Comfort,OLYMPUS COUCH/BED,,Sleep Comfort s.a.l,"6,170.21 ","7,250.00 ","1,487.26 ",8
BR-PILW-0001,PILLOW 50 X 70 CM,Sleep Comfort,PILLOW 50 X 70 CM,,Sleep Comfort s.a.l,76.60 ,90.00 ,15.36 ,410
BR-POOF-R-0006,ROUND POOF 45 CM,Sleep Comfort,ROUND POOF SIZE 45 CM,,Sleep Comfort s.a.l,"1,702.13 ","2,000.00 ",118.13 ,1
BR-POOF-S-0002,SQUARE POOF 45 X 45 CM,Sleep Comfort,SQUARE POOF SIZE 45 X 45 CM COL. BLUE,,Sleep Comfort s.a.l,510.64 ,600.00 ,66.69 ,2
BR-SEMAIN-SIRN-0002,SEMAINIER SIRENE QUAD,Sleep Comfort,SEMAINIER SIRENE COLOR QUADRILLE 7 DRAWERS,,Sleep Comfort s.a.l,"5,531.91 ","6,500.00 ",877.50 ,1
BR-W-DOMI-0001,DOMINO WARDROBE 3 DRS GRA,Sleep Comfort,DOMINO WARDROBE 3 DOORS COLOR GRANADA,,Sleep Comfort s.a.l,"9,021.28 ","10,600.00 ","1,140.75 ",6
BR-W-DOMI-0002,DOMINO WARDROBE 3 DRS QUAD,Sleep Comfort,DOMINO WARDROBE 3 DOORS COLOR QUADRILLE,,Sleep Comfort s.a.l,"9,021.28 ","10,600.00 ","1,140.75 ",4
BR-W-DOMI-0003,DOMINO WARDROBE 3 DRS WZEN,Sleep Comfort,DOMINO WARDROBE 3 DOORS COLOR WENGE ZEN,,Sleep Comfort s.a.l,"9,021.28 ","10,600.00 ","1,140.75 ",5
BR-W-DOMI-0004,DOMINO WARDROBE 3 DRS NAT,Sleep Comfort,DOMINO WARDROBE 3 DOORS COLOR NATALY,,Sleep Comfort s.a.l,"9,021.28 ","10,600.00 ","1,140.75 ",6
BR-W-DOMI-0005,DOMINO WARDROBE 4 DRS GRA,Sleep Comfort,DOMINO WARDROBE 4 DOORS COLOR GRANADA,,Sleep Comfort s.a.l,"10,127.66 ","11,900.00 ","1,430.33 ",2
